Company,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Total Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Protein (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Category,FreeStyle Points,SmartPoints,PointsPlus
Mcdonalds,Hotcakes with Syrup & Butter,600,144,16.0,6.0,0.2,45.0,660.0,106.0,3.0,57.0,8.0,25.0,30.0,15.0,28.0,35.0,12.0,16.0,10.0,0.0,10.0,20.0,Breakfast,26.0,26.0,16.0
Mcdonalds,Feta & Tomato More-Ning McWrap,430,198,22.0,8.0,0.3,425.0,750.0,38.0,6.0,3.0,21.0,34.0,40.0,142.0,31.0,13.0,24.0,42.0,30.0,6.0,15.0,20.0,Breakfast,14.0,14.0,11.0
Mcdonalds,Bacon & Hash More-Ning McWrap,590,279,31.0,10.0,0.4,430.0,1160.0,54.0,8.0,3.0,24.0,48.0,50.0,143.0,48.0,18.0,32.0,48.0,20.0,4.0,15.0,20.0,Breakfast,19.0,19.0,15.0
Mcdonalds,Sausage & Hash More-Ning McWrap,710,378,42.0,14.0,0.5,450.0,1330.0,57.0,8.0,3.0,28.0,65.0,70.0,150.0,55.0,19.0,32.0,56.0,20.0,0.0,20.0,25.0,Breakfast,23.0,23.0,19.0
Mcdonalds,Cranberry Orange Muffin,360,72,8.0,0.5,0.0,0.0,390.0,66.0,2.0,36.0,7.0,12.0,3.0,0.0,16.0,22.0,8.0,14.0,0.0,8.0,4.0,15.0,Breakfast,15.0,15.0,10.0
Mcdonalds,Fruit & Fibre Muffin,380,126,14.0,1.5,0.0,0.0,460.0,60.0,7.0,28.0,6.0,22.0,8.0,0.0,19.0,20.0,28.0,12.0,0.0,15.0,4.0,15.0,Breakfast,15.0,15.0,10.0
Mcdonalds,Carrot Muffin,430,144,16.0,1.5,0.2,0.0,330.0,65.0,3.0,35.0,6.0,25.0,8.0,0.0,14.0,22.0,12.0,12.0,110.0,4.0,2.0,15.0,Breakfast,17.0,17.0,11.0
Mcdonalds,Banana Chocolate Chunk Muffin,430,117,13.0,2.0,0.0,0.0,450.0,73.0,3.0,40.0,7.0,20.0,10.0,0.0,19.0,24.0,12.0,14.0,0.0,0.0,4.0,15.0,Breakfast,18.0,18.0,12.0
Mcdonalds,Blueberry Muffin,430,144,16.0,1.5,0.0,0.0,350.0,66.0,3.0,31.0,7.0,25.0,8.0,0.0,15.0,22.0,12.0,14.0,0.0,2.0,4.0,10.0,Breakfast,17.0,17.0,12.0
Mcdonalds,Sausage 'N Egg McMuffin,430,225,25.0,11.0,0.3,225.0,850.0,31.0,2.0,2.0,20.0,38.0,55.0,75.0,35.0,10.0,8.0,40.0,15.0,0.0,20.0,20.0,Breakfast,12.0,14.0,11.0
Mcdonalds,Sausage McGriddles,400,180,20.0,8.0,0.2,30.0,1100.0,45.0,2.0,14.0,11.0,31.0,40.0,10.0,46.0,15.0,8.0,22.0,0.0,0.0,8.0,15.0,Breakfast,15.0,15.0,11.0
Mcdonalds,Sausage McMuffin,370,180,20.0,9.0,0.3,50.0,790.0,31.0,2.0,2.0,14.0,31.0,45.0,17.0,33.0,10.0,8.0,28.0,6.0,0.0,15.0,15.0,Breakfast,13.0,13.0,10.0
Mcdonalds,"Sausage, Egg & Cheese McGriddles",520,252,28.0,12.0,0.3,220.0,1350.0,47.0,2.0,15.0,20.0,43.0,60.0,73.0,56.0,16.0,8.0,40.0,10.0,0.0,15.0,20.0,Breakfast,17.0,19.0,14.0
Mcdonalds,Bacon & Cheddar Angus,770,369,41.0,18.0,1.5,130.0,1400.0,53.0,2.0,13.0,46.0,63.0,90.0,43.0,58.0,18.0,8.0,92.0,10.0,15.0,20.0,30.0,Burgers,25.0,25.0,20.0
Mcdonalds,Single Bacon 'n Crispy Onion Quarter Pounder,680,360,40.0,16.0,1.0,105.0,1490.0,46.0,3.0,11.0,34.0,62.0,80.0,35.0,62.0,15.0,12.0,68.0,15.0,10.0,15.0,35.0,Burgers,23.0,23.0,18.0
Mcdonalds,Double Bacon 'n Crispy Onion Quarter Pounder,900,513,57.0,24.0,1.5,165.0,1550.0,46.0,3.0,11.0,52.0,88.0,120.0,55.0,65.0,15.0,12.0,104.0,15.0,10.0,20.0,50.0,Burgers,30.0,30.0,24.0
Mcdonalds,Big Mac,520,252,28.0,10.0,0.5,65.0,950.0,45.0,3.0,9.0,24.0,43.0,50.0,22.0,40.0,15.0,12.0,48.0,8.0,2.0,20.0,35.0,Burgers,17.0,17.0,14.0
Mcdonalds,Big Mac Bacon,630,333,37.0,12.0,0.5,85.0,1220.0,48.0,3.0,9.0,28.0,57.0,60.0,28.0,51.0,16.0,12.0,56.0,10.0,10.0,10.0,35.0,Burgers,21.0,21.0,17.0
Mcdonalds,Cheeseburger,290,99,11.0,5.0,0.4,35.0,700.0,33.0,2.0,7.0,15.0,17.0,25.0,12.0,29.0,11.0,8.0,30.0,6.0,2.0,15.0,20.0,Burgers,10.0,10.0,8.0
Mcdonalds,Double Big Mac,680,342,38.0,16.0,1.0,120.0,1310.0,46.0,3.0,8.0,40.0,58.0,80.0,40.0,55.0,15.0,12.0,80.0,10.0,2.0,30.0,45.0,Burgers,22.0,22.0,18.0
Mcdonalds,Double Big Mac Bacon,800,441,49.0,18.0,1.0,130.0,1260.0,49.0,3.0,9.0,42.0,75.0,90.0,43.0,53.0,16.0,12.0,84.0,10.0,10.0,15.0,45.0,Burgers,26.0,26.0,22.0
Mcdonalds,Double Cheeseburger,420,180,20.0,10.0,0.5,70.0,1050.0,35.0,2.0,7.0,24.0,31.0,50.0,23.0,44.0,12.0,8.0,48.0,10.0,2.0,25.0,25.0,Burgers,14.0,14.0,11.0
Mcdonalds,Double Quarter Pounder without Cheese,650,333,37.0,16.0,1.5,120.0,860.0,39.0,3.0,9.0,42.0,57.0,80.0,40.0,36.0,13.0,12.0,84.0,6.0,4.0,15.0,45.0,Burgers,21.0,21.0,17.0
Mcdonalds,Double Quarter Pounder with Cheese,740,387,43.0,20.0,1.5,145.0,1240.0,42.0,3.0,9.0,47.0,66.0,100.0,48.0,52.0,14.0,12.0,94.0,10.0,4.0,25.0,45.0,Burgers,24.0,24.0,20.0
Mcdonalds,Double Quarter Pounder BLT,890,504,56.0,24.0,1.5,165.0,1530.0,44.0,3.0,11.0,52.0,86.0,120.0,55.0,64.0,15.0,12.0,104.0,20.0,15.0,20.0,50.0,Burgers,30.0,30.0,24.0
Mcdonalds,Double Western BBQ Quarter Pounder,850,468,52.0,23.0,1.5,160.0,1500.0,46.0,3.0,11.0,52.0,80.0,115.0,53.0,63.0,15.0,12.0,104.0,15.0,10.0,20.0,50.0,Burgers,28.0,28.0,23.0
Mcdonalds,Hamburger,240,72,8.0,3.0,0.2,25.0,510.0,32.0,2.0,7.0,12.0,12.0,15.0,8.0,21.0,11.0,8.0,24.0,2.0,2.0,10.0,20.0,Burgers,8.0,8.0,6.0
Mcdonalds,McDouble,370,153,17.0,8.0,0.5,60.0,860.0,34.0,2.0,7.0,21.0,26.0,40.0,20.0,36.0,11.0,8.0,42.0,6.0,2.0,15.0,25.0,Burgers,12.0,12.0,10.0
Mcdonalds,Mighty Angus Original,790,387,43.0,16.0,1.5,120.0,1310.0,56.0,3.0,15.0,42.0,66.0,80.0,40.0,55.0,19.0,12.0,84.0,10.0,15.0,15.0,30.0,Burgers,26.0,26.0,21.0
Mcdonalds,Montreal Steak Spice BBQ Angus,710,306,34.0,14.0,1.5,105.0,1250.0,59.0,3.0,16.0,41.0,52.0,70.0,35.0,52.0,20.0,12.0,82.0,6.0,6.0,20.0,35.0,Burgers,23.0,23.0,19.0
Mcdonalds,Quarter Pounder without Cheese,420,180,20.0,8.0,0.5,60.0,680.0,39.0,2.0,9.0,24.0,31.0,40.0,20.0,28.0,13.0,8.0,48.0,4.0,4.0,10.0,30.0,Burgers,14.0,14.0,11.0
Mcdonalds,Quarter Pounder with Cheese,520,234,26.0,13.0,1.0,85.0,1080.0,41.0,3.0,9.0,30.0,40.0,65.0,28.0,45.0,14.0,12.0,60.0,10.0,4.0,25.0,30.0,Burgers,17.0,17.0,14.0
Mcdonalds,Quarter Pounder BLT,600,315,35.0,13.0,1.0,95.0,1130.0,42.0,3.0,11.0,31.0,54.0,65.0,32.0,47.0,14.0,12.0,62.0,15.0,15.0,20.0,30.0,Burgers,20.0,20.0,16.0
Mcdonalds,Western BBQ Quarter Pounder,630,315,35.0,15.0,1.0,100.0,1440.0,46.0,3.0,11.0,34.0,54.0,75.0,33.0,60.0,15.0,12.0,68.0,15.0,10.0,15.0,35.0,Burgers,21.0,21.0,17.0
Mcdonalds,4 Piece Chicken McNuggets,170,81,9.0,1.5,0.0,30.0,300.0,10.0,0.0,0.0,10.0,14.0,8.0,10.0,13.0,3.0,0.0,20.0,0.0,0.0,0.0,4.0,Chicken McNuggets,3.0,5.0,4.0
Mcdonalds,6 Piece Chicken McNuggets,250,126,14.0,2.5,0.1,40.0,450.0,15.0,0.0,0.0,16.0,22.0,13.0,13.0,19.0,5.0,0.0,32.0,0.0,0.0,0.0,6.0,Chicken McNuggets,5.0,7.0,7.0
Mcdonalds,10 Piece Chicken McNuggets,410,207,23.0,4.0,0.2,70.0,750.0,26.0,0.0,0.0,26.0,35.0,20.0,23.0,31.0,9.0,0.0,52.0,0.0,0.0,2.0,8.0,Chicken McNuggets,9.0,11.0,11.0
Mcdonalds,20 Piece Chicken McNuggets,830,414,46.0,8.0,0.4,140.0,1490.0,51.0,0.0,0.0,52.0,71.0,40.0,47.0,62.0,17.0,0.0,104.0,0.0,0.0,2.0,20.0,Chicken McNuggets,20.0,22.0,22.0
Mcdonalds,Baked Apple Pie,270,126,14.0,7.0,0.1,0.0,180.0,34.0,1.0,12.0,3.0,22.0,35.0,0.0,8.0,11.0,4.0,6.0,0.0,45.0,2.0,8.0,Desserts,11.0,11.0,7.0
Mcdonalds,Snack Size Cadbury Creme Egg McFlurry,420,126,14.0,9.0,0.3,35.0,180.0,67.0,0.0,56.0,8.0,22.0,45.0,12.0,8.0,22.0,0.0,16.0,8.0,0.0,20.0,8.0,Desserts,21.0,21.0,12.0
Mcdonalds,Regular Cadbury Creme Egg McFlurry,630,180,20.0,13.0,0.4,50.0,270.0,101.0,1.0,84.0,12.0,31.0,65.0,17.0,11.0,34.0,4.0,24.0,10.0,0.0,30.0,15.0,Desserts,32.0,32.0,17.0
Mcdonalds,Small Chocolate Triple Thick Milkshake,560,117,13.0,8.0,0.4,50.0,380.0,101.0,0.0,79.0,12.0,20.0,40.0,17.0,16.0,34.0,0.0,24.0,10.0,0.0,30.0,8.0,Desserts,28.0,28.0,15.0
Mcdonalds,Medium Chocolate Triple Thick Milkshake,760,153,17.0,11.0,0.5,65.0,520.0,137.0,1.0,107.0,15.0,26.0,55.0,22.0,22.0,46.0,4.0,30.0,15.0,0.0,40.0,10.0,Desserts,38.0,38.0,21.0
Mcdonalds,Large Chocolate Triple Thick Milkshake,1160,234,26.0,17.0,1.0,105.0,780.0,207.0,1.0,163.0,24.0,40.0,85.0,35.0,33.0,69.0,4.0,48.0,25.0,0.0,60.0,15.0,Desserts,57.0,57.0,31.0
Mcdonalds,Hot Fudge Sundae,340,90,10.0,8.0,0.2,25.0,230.0,55.0,2.0,48.0,7.0,15.0,40.0,8.0,10.0,18.0,8.0,14.0,6.0,0.0,20.0,10.0,Desserts,18.0,18.0,9.0
Mcdonalds,Snack Size M&M's McFlurry,410,117,13.0,8.0,0.3,30.0,190.0,66.0,1.0,57.0,8.0,20.0,40.0,10.0,8.0,22.0,4.0,16.0,6.0,0.0,20.0,4.0,Desserts,21.0,21.0,11.0
Mcdonalds,Regular M&M's McFlurry,620,180,20.0,13.0,0.4,45.0,280.0,98.0,2.0,86.0,12.0,31.0,65.0,15.0,12.0,33.0,8.0,24.0,10.0,0.0,30.0,6.0,Desserts,32.0,32.0,17.0
Mcdonalds,Snack Size Oreo McFlurry,340,99,11.0,7.0,0.3,25.0,230.0,54.0,1.0,42.0,7.0,17.0,35.0,8.0,10.0,18.0,4.0,14.0,6.0,0.0,15.0,6.0,Desserts,17.0,17.0,9.0
Mcdonalds,Regular Oreo McFlurry,570,171,19.0,12.0,0.4,40.0,410.0,90.0,1.0,68.0,11.0,29.0,60.0,13.0,17.0,30.0,4.0,22.0,10.0,0.0,25.0,15.0,Desserts,28.0,28.0,16.0
Mcdonalds,Child Size Shamrock Shake,500,117,13.0,8.0,0.3,55.0,310.0,86.0,0.0,66.0,10.0,20.0,40.0,18.0,13.0,29.0,0.0,20.0,15.0,4.0,35.0,2.0,Desserts,24.0,24.0,14.0
Mcdonalds,Small Shamrock Shake,540,126,14.0,8.0,0.3,55.0,330.0,96.0,0.0,73.0,11.0,22.0,40.0,18.0,14.0,32.0,0.0,22.0,15.0,4.0,35.0,2.0,Desserts,26.0,26.0,15.0
Mcdonalds,Medium Shamrock Shake,730,162,18.0,11.0,0.4,75.0,430.0,130.0,0.0,99.0,14.0,28.0,55.0,25.0,18.0,43.0,0.0,28.0,20.0,6.0,45.0,2.0,Desserts,36.0,36.0,20.0
Mcdonalds,Large Shamrock Shake,1120,252,28.0,17.0,0.5,115.0,680.0,197.0,0.0,150.0,22.0,43.0,85.0,38.0,28.0,66.0,0.0,44.0,30.0,10.0,70.0,4.0,Desserts,55.0,55.0,31.0
Mcdonalds,Snack Size Skor McFlurry,370,117,13.0,8.0,0.5,40.0,230.0,57.0,1.0,49.0,7.0,20.0,40.0,13.0,10.0,19.0,4.0,14.0,10.0,0.0,15.0,4.0,Desserts,19.0,19.0,10.0
Mcdonalds,Regular Skor McFlurry,540,171,19.0,12.0,0.5,60.0,340.0,82.0,1.0,71.0,10.0,29.0,60.0,20.0,14.0,27.0,4.0,20.0,15.0,0.0,25.0,4.0,Desserts,27.0,27.0,15.0
Mcdonalds,Snack Size Squishmallows McFlurry,400,117,13.0,9.0,0.2,25.0,190.0,65.0,1.0,49.0,7.0,20.0,45.0,8.0,8.0,22.0,4.0,14.0,0.0,0.0,13.0,1.0,Desserts,20.0,20.0,11.0
Mcdonalds,Regular Squishmallows McFlurry,620,171,19.0,14.0,0.4,40.0,280.0,102.0,1.0,75.0,10.0,29.0,70.0,13.0,12.0,34.0,4.0,20.0,0.0,0.0,20.0,2.0,Desserts,31.0,31.0,17.0
Mcdonalds,Small Strawberry Triple Thick Milkshake,550,108,12.0,8.0,0.4,50.0,300.0,98.0,0.0,80.0,11.0,18.0,40.0,17.0,13.0,33.0,0.0,22.0,10.0,6.0,30.0,2.0,Desserts,27.0,27.0,15.0
Mcdonalds,Medium Strawberry Triple Thick Milkshake,740,144,16.0,11.0,0.5,65.0,390.0,133.0,0.0,108.0,15.0,25.0,55.0,22.0,16.0,44.0,0.0,30.0,15.0,8.0,40.0,2.0,Desserts,37.0,37.0,20.0
Mcdonalds,Large Strawberry Triple Thick Milkshake,1130,234,26.0,17.0,1.0,105.0,620.0,201.0,0.0,164.0,23.0,40.0,85.0,35.0,26.0,67.0,0.0,46.0,25.0,10.0,60.0,4.0,Desserts,57.0,57.0,31.0
Mcdonalds,Strawberry Yogurt Tube,25,0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,4.0,0.0,Desserts,1.0,1.0,1.0
Mcdonalds,Vanilla Ice Cream Cone,240,54,6.0,4.0,0.2,25.0,150.0,40.0,0.0,30.0,6.0,9.0,20.0,8.0,6.0,13.0,0.0,12.0,6.0,0.0,15.0,2.0,Desserts,11.0,11.0,6.0
Mcdonalds,Small Vanilla Triple Thick Milkshake,540,108,12.0,8.0,0.4,50.0,300.0,96.0,0.0,71.0,11.0,18.0,40.0,17.0,13.0,32.0,0.0,22.0,25.0,0.0,30.0,2.0,Desserts,26.0,26.0,15.0
Mcdonalds,Medium Vanilla Triple Thick Milkshake,720,144,16.0,11.0,0.5,65.0,390.0,130.0,0.0,94.0,14.0,25.0,55.0,22.0,16.0,43.0,0.0,28.0,30.0,0.0,40.0,2.0,Desserts,35.0,35.0,20.0
Mcdonalds,Large Vanilla Triple Thick Milkshake,1110,234,26.0,17.0,1.0,105.0,620.0,198.0,0.0,146.0,23.0,40.0,85.0,35.0,26.0,66.0,0.0,46.0,45.0,0.0,60.0,4.0,Desserts,54.0,54.0,30.0
Mcdonalds,Cheeseburger Happy Meal,660,234,26.0,9.0,0.3,45.0,980.0,79.0,4.0,22.0,27.0,40.0,45.0,15.0,41.0,26.0,16.0,54.0,26.0,2.0,44.0,24.0,Happy Meals,23.0,23.0,17.0
Mcdonalds,Chicken McNuggets Happy Meal,340,108,12.0,3.5,0.0,40.0,440.0,36.0,2.0,23.0,21.0,18.0,18.0,13.0,18.0,12.0,8.0,42.0,18.0,130.0,36.0,6.0,Happy Meals,11.0,12.0,9.0
Mcdonalds,Grilled Chicken Snack Wrap Happy Meal,370,90,10.0,3.5,0.0,55.0,440.0,43.0,5.0,21.0,26.0,15.0,18.0,18.0,18.0,14.0,20.0,52.0,12.0,134.0,34.0,10.0,Happy Meals,11.0,12.0,9.0
Mcdonalds,Crispy Chicken Snack Wrap Happy Meal,440,135,15.0,4.0,0.0,40.0,480.0,51.0,6.0,21.0,23.0,23.0,20.0,13.0,20.0,17.0,24.0,46.0,12.0,134.0,34.0,12.0,Happy Meals,14.0,15.0,11.0
Mcdonalds,Hamburger Happy Meal,390,90,10.0,4.5,0.2,35.0,620.0,53.0,3.0,27.0,21.0,15.0,23.0,12.0,26.0,18.0,12.0,42.0,12.0,132.0,34.0,22.0,Happy Meals,14.0,14.0,10.0
Mcdonalds,Hotcakes Happy Meal,520,99,11.0,3.5,0.0,30.0,740.0,85.0,5.0,38.0,19.0,17.0,18.0,10.0,31.0,28.0,20.0,38.0,20.0,130.0,46.0,22.0,Happy Meals,19.0,19.0,13.0
Mcdonalds,Caesar Side Salad,150,72,8.0,3.0,0.1,25.0,400.0,12.0,1.0,1.0,6.0,12.0,15.0,8.0,17.0,4.0,4.0,12.0,15.0,20.0,10.0,10.0,Salads,5.0,5.0,4.0
Mcdonalds,Garden Fresh Side Salad,40,18,2.0,1.0,0.1,5.0,70.0,3.0,1.0,1.0,3.0,3.0,5.0,2.0,3.0,1.0,4.0,6.0,15.0,30.0,8.0,6.0,Salads,1.0,1.0,1.0
Mcdonalds,I'm Greek-ing Out Salad with Grilled Chicken,310,90,10.0,3.5,0.2,95.0,720.0,24.0,4.0,4.0,33.0,15.0,18.0,32.0,30.0,8.0,16.0,66.0,35.0,70.0,10.0,20.0,Salads,6.0,8.0,8.0
Mcdonalds,I'm Greek-ing Out Salad with Crispy Chicken,440,189,21.0,5.0,0.3,70.0,790.0,39.0,5.0,4.0,27.0,32.0,25.0,23.0,33.0,13.0,20.0,54.0,35.0,70.0,10.0,25.0,Salads,11.0,13.0,12.0
Mcdonalds,"Keep Calm, Caesar On Salad with Grilled Chicken",390,162,18.0,8.0,0.2,135.0,990.0,14.0,2.0,2.0,35.0,28.0,40.0,45.0,41.0,5.0,8.0,70.0,35.0,45.0,30.0,20.0,Salads,9.0,11.0,9.0
Mcdonalds,"Keep Calm, Caesar On Salad with Crispy Chicken",520,261,29.0,9.0,0.3,110.0,1070.0,30.0,3.0,2.0,30.0,45.0,45.0,37.0,45.0,10.0,12.0,60.0,35.0,45.0,30.0,25.0,Salads,14.0,16.0,13.0
Mcdonalds,Grilled Chicken & Bacon Signature McWrap,500,216,24.0,9.0,0.3,115.0,980.0,36.0,6.0,4.0,38.0,37.0,45.0,38.0,41.0,12.0,24.0,76.0,10.0,15.0,20.0,15.0,Sandwiches & Wraps,12.0,14.0,13.0
Mcdonalds,Crispy Chicken & Bacon Signature McWrap,600,297,33.0,10.0,0.3,75.0,1280.0,48.0,6.0,4.0,30.0,51.0,50.0,25.0,53.0,16.0,24.0,60.0,10.0,10.0,20.0,15.0,Sandwiches & Wraps,16.0,18.0,16.0
Mcdonalds,Chicken Big Mac,610,288,32.0,7.0,0.3,55.0,1100.0,61.0,4.0,8.0,23.0,49.0,35.0,18.0,46.0,20.0,16.0,46.0,0.0,0.0,8.0,21.0,Sandwiches & Wraps,17.0,19.0,17.0
Mcdonalds,Grilled Chicken BLT Sandwich,560,234,26.0,7.0,0.2,135.0,1170.0,46.0,3.0,7.0,38.0,40.0,35.0,45.0,49.0,15.0,12.0,76.0,8.0,20.0,8.0,20.0,Sandwiches & Wraps,14.0,16.0,15.0
Mcdonalds,Crispy Chicken BLT Sandwich,700,333,37.0,8.0,0.3,110.0,1240.0,62.0,4.0,7.0,32.0,57.0,40.0,37.0,52.0,21.0,16.0,64.0,8.0,20.0,8.0,25.0,Sandwiches & Wraps,19.0,21.0,19.0
Mcdonalds,Chicken Caesar McWrap Grilled,430,144,16.0,5.0,0.2,100.0,890.0,36.0,6.0,3.0,36.0,25.0,25.0,33.0,37.0,12.0,24.0,72.0,2.0,10.0,6.0,15.0,Sandwiches & Wraps,10.0,11.0,11.0
Mcdonalds,Chicken Caesar McWrap Crispy,570,243,27.0,7.0,0.3,75.0,960.0,52.0,7.0,3.0,30.0,42.0,35.0,25.0,40.0,17.0,28.0,60.0,2.0,10.0,6.0,20.0,Sandwiches & Wraps,15.0,17.0,15.0
Mcdonalds,"Grilled Chicken, Tomato & Mozzarella Sandwich",500,198,22.0,7.0,0.4,130.0,1010.0,40.0,3.0,7.0,36.0,34.0,35.0,43.0,42.0,13.0,12.0,72.0,10.0,15.0,20.0,20.0,Sandwiches & Wraps,12.0,14.0,13.0
Mcdonalds,"Crispy Chicken, Tomato & Mozzarella Sandwich",640,297,33.0,9.0,0.5,105.0,1080.0,56.0,4.0,7.0,31.0,51.0,45.0,35.0,45.0,19.0,16.0,62.0,10.0,15.0,20.0,25.0,Sandwiches & Wraps,18.0,20.0,17.0
Mcdonalds,Grilled Chipotle Chicken Snack Wrap,240,54,6.0,2.5,0.1,45.0,490.0,31.0,1.0,8.0,17.0,9.0,13.0,15.0,20.0,10.0,4.0,34.0,2.0,2.0,6.0,15.0,Sandwiches & Wraps,5.0,7.0,6.0
Mcdonalds,Crispy Chipotle Chicken Snack Wrap,290,99,11.0,3.0,0.1,25.0,640.0,37.0,1.0,8.0,13.0,17.0,15.0,8.0,27.0,12.0,4.0,26.0,2.0,2.0,6.0,15.0,Sandwiches & Wraps,7.0,9.0,8.0
Mcdonalds,Double Filet-O-Fish,560,261,29.0,6.0,0.3,75.0,830.0,53.0,2.0,4.0,23.0,45.0,30.0,25.0,35.0,18.0,8.0,46.0,4.0,0.0,15.0,20.0,Sandwiches & Wraps,15.0,17.0,15.0
Mcdonalds,Filet-O-Fish,400,189,21.0,4.0,0.2,40.0,580.0,40.0,1.0,4.0,14.0,32.0,20.0,13.0,24.0,13.0,4.0,28.0,2.0,0.0,15.0,15.0,Sandwiches & Wraps,10.0,12.0,11.0
Mcdonalds,Junior Chicken,370,180,20.0,3.5,0.2,35.0,570.0,36.0,2.0,5.0,13.0,31.0,18.0,12.0,24.0,12.0,8.0,26.0,2.0,0.0,10.0,15.0,Sandwiches & Wraps,10.0,12.0,10.0
Mcdonalds,McChicken,470,243,27.0,4.5,0.2,45.0,650.0,44.0,3.0,6.0,16.0,42.0,23.0,15.0,27.0,15.0,12.0,32.0,4.0,2.0,10.0,20.0,Sandwiches & Wraps,13.0,15.0,13.0
Mcdonalds,McCrispy,520,234,26.0,4.0,0.2,65.0,880.0,43.0,2.0,8.0,29.0,40.0,20.0,22.0,37.0,14.0,8.0,58.0,2.0,2.0,2.0,20.0,Sandwiches & Wraps,13.0,15.0,14.0
Mcdonalds,McCrispy Bacon Deluxe,590,279,31.0,6.0,0.2,80.0,1120.0,44.0,3.0,9.0,34.0,48.0,30.0,27.0,47.0,15.0,12.0,68.0,6.0,15.0,2.0,20.0,Sandwiches & Wraps,16.0,17.0,16.0
Mcdonalds,Grilled Ranch Chicken Snack Wrap,240,72,8.0,3.0,0.1,50.0,450.0,25.0,1.0,2.0,17.0,12.0,15.0,17.0,19.0,8.0,4.0,34.0,2.0,2.0,8.0,10.0,Sandwiches & Wraps,5.0,7.0,6.0
Mcdonalds,Crispy Ranch Chicken Snack Wrap,290,117,13.0,3.5,0.2,30.0,590.0,31.0,1.0,2.0,14.0,20.0,18.0,10.0,25.0,10.0,4.0,28.0,2.0,2.0,8.0,10.0,Sandwiches & Wraps,7.0,9.0,8.0
Mcdonalds,Southern BBQ Sandwich with Grilled Chicken,500,135,15.0,6.0,0.3,125.0,1120.0,56.0,4.0,12.0,37.0,23.0,30.0,42.0,47.0,19.0,16.0,74.0,10.0,8.0,20.0,25.0,Sandwiches & Wraps,13.0,15.0,13.0
Mcdonalds,Southern BBQ Sandwich with Crispy Chicken,640,234,26.0,8.0,0.4,100.0,1190.0,72.0,5.0,12.0,32.0,40.0,40.0,33.0,50.0,24.0,20.0,64.0,10.0,8.0,20.0,30.0,Sandwiches & Wraps,18.0,20.0,17.0
Mcdonalds,Spicier Szechuan McChicken,490,243,27.0,4.5,0.3,45.0,760.0,47.0,3.0,8.0,16.0,42.0,23.0,15.0,32.0,16.0,12.0,32.0,4.0,2.0,2.0,20.0,Sandwiches & Wraps,14.0,15.0,13.0
Mcdonalds,Spiciest Ghost Pepper McChicken,490,243,27.0,4.0,0.3,50.0,720.0,45.0,3.0,7.0,16.0,42.0,20.0,17.0,30.0,15.0,12.0,32.0,4.0,2.0,2.0,20.0,Sandwiches & Wraps,13.0,15.0,13.0
Mcdonalds,Spicy Habanero McChicken,470,225,25.0,4.5,0.2,45.0,680.0,45.0,3.0,7.0,16.0,38.0,23.0,15.0,28.0,15.0,12.0,32.0,4.0,2.0,2.0,20.0,Sandwiches & Wraps,13.0,15.0,13.0
Mcdonalds,Sweet Chili Signature McWrap with Grilled Chicken,420,126,14.0,3.5,0.1,90.0,830.0,44.0,6.0,11.0,30.0,22.0,18.0,30.0,35.0,15.0,24.0,60.0,2.0,6.0,6.0,15.0,Sandwiches & Wraps,10.0,12.0,11.0
Mcdonalds,Sweet Chili Signature McWrap with Crispy Chicken,520,207,23.0,4.5,0.2,45.0,1130.0,56.0,6.0,11.0,23.0,35.0,23.0,15.0,47.0,19.0,24.0,46.0,2.0,4.0,8.0,15.0,Sandwiches & Wraps,14.0,16.0,14.0
Mcdonalds,Apple Slices,40,0,0.0,0.0,0.0,0.0,5.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,130.0,2.0,2.0,Sides,2.0,2.0,1.0
Mcdonalds,Brownie RMHC Cookie,140,63,7.0,2.0,0.1,20.0,110.0,20.0,1.0,15.0,2.0,11.0,10.0,7.0,5.0,7.0,4.0,4.0,6.0,0.0,2.0,8.0,Sides,6.0,6.0,4.0
Mcdonalds,Chewy Oatmeal Caramel RMHC Cookie,160,81,9.0,4.5,0.1,5.0,160.0,20.0,1.0,12.0,2.0,14.0,23.0,2.0,7.0,7.0,4.0,4.0,0.0,0.0,2.0,4.0,Sides,7.0,7.0,5.0
Mcdonalds,Chocolate Chunk RMHC Cookie,160,72,8.0,3.5,0.0,10.0,90.0,21.0,1.0,14.0,2.0,12.0,18.0,3.0,4.0,7.0,4.0,4.0,0.0,0.0,0.0,8.0,Sides,7.0,7.0,4.0
Mcdonalds,Mini French Fries,120,54,6.0,0.5,0.0,0.0,90.0,16.0,1.0,0.0,1.0,9.0,3.0,0.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,2.0,Sides,4.0,4.0,3.0
